Unique Word,Comments
attractions,it was very quick and reactive
attractions,It was interactive
attractions,very helpful to move around like this
attractions,I had control over where to go
attractions,this is interactive.
attractions,I like all the interactions that you can do by clicking just from your screen
attractions,NICE AND INTERACTIVE
attractions,It gave me actual movies of doing things.
attractions,this is a decent selection of areas to explore
attractions,The interface makes sense and is good at being low-profile.
attractions,"A great deal of ease, no problems doing what I wanted"
attractions,open for anyone
attractions,I love the frame rate
attractions,"Lighting was nice, everything was bright and filled with colors"
attractions,It was relaxing
attractions,"Considering I could probably spend a few days, just on this virtual tour, then there's no shortage of things to actually see, when I'm there."
attractions,Opulent
attractions,attractive
attractions,It was well done
attractions,The tour was excellent
attractions,this is really neat
attractions,generally well done
attractions,high quality
attractions,Fantastic!
attractions,I love this!
attractions,It is high tech
attractions,I'd like to use this tool to explore other places.
attractions,The VR was high quality
attractions,The VR was thorough
attractions,high quality
attractions,better than paper catalog
attractions,Ritzy
attractions,Well made.
attractions,Well thought out.
attractions,vr is awesome
attractions,Captivating
attractions,Breathtaking
attractions,The key provided helps you determine what you want to click on.
attractions,this is a new viewing experience of dubai for me
attractions,Quality was good
attractions,I think VR is a great tech
attractions,The GUI ( Graphical User Interface ) seems very appealing.
attractions,Sleek
attractions,Robust
attractions,Nice
attractions,Overall the virtual tour worked very well.
attractions,Accurate
attractions,Satisfying
attractions,QUALITY
attractions,its impresive
attractions,everything seemed well maintained
attractions,everything was well lit
attractions,Was put together well
attractions,I love virtual tours like this
attractions,It worked as described
attractions,I could see a part of the world I normally would not be able to see
attractions,"I wonder if you can ""VR tour"" other places with this website."
attractions,It can be used to provide valuable medical services such as remote consultations.
attractions,It's incredibly thorough and comprehensive
attractions,So much to see
attractions,it was nice to see such a variety of locations
attractions,diverse landscapes shown
attractions,showed muplitple places instead of just one
attractions,it showed a wide variety of places
attractions,There were a lot of things to look at within the tour
attractions,There are so many places to check out.
attractions,there were a variety of areas shown in the tour
attractions,there were lots of places to click on
attractions,I could see many places
attractions,It has a lot of the views you would actually want to go to.
attractions,It allowed me to travel to many locations.
attractions,I thought it showed some a lot of space
attractions,diverse attractions
attractions,there were alot of options to choose to visit
attractions,lots of destinations to look at
attractions,The video shows a variety of locations and places to explore.
attractions,How extensive the scenery was covered
attractions,It showed various aspects I'd the area that I was interested in.
attractions,Huge variety of attractions
attractions,There were a lot of areas to explore.
attractions,Lots of information about different attractions and locations in Dubai
attractions,I can view notable and important places
attractions,many attractions to choose from
attractions,A lot of places to look around
attractions,So much to do
attractions,lots to do
attractions,lots to see
attractions,There is a lot to see
attractions,Informative
attractions,Informational
attractions,It was informative
attractions,Very informative
attractions,informative
attractions,Informative
attractions,informational
attractions,It’s informative
attractions,Informative
attractions,it was informational
attractions,Great preview of Dubai
attractions,I can get a sense of the landscape.
attractions,I can see a full sweep of things.
attractions,Like traveling without having to leave my house
attractions,It gave a good view of the landscape and what the city looks like
attractions,it helped me get an idea of what the city looks like
attractions,get a sense of the scenery from a balcony view
attractions,Get a good idea of views
attractions,It showed sights
attractions,It seems to give a good idea of what it looks like in person
attractions,This medium provides an avenue for exploration.
attractions,I could get a sense of what the places looked like on the ground
attractions,Covers a good amount of Dubai
attractions,It's nice to be able to see Dubai
attractions,It helped set an idea on what Dubai will look like
attractions,I can get a very clear idea of what visiting Dubai would be like
attractions,I was able to get a sense of what was around there.
attractions,Gives you the feel of the place
attractions,you get to see how the place looks like
attractions,I can see a place that I have never been before
attractions,Can see it before you ever get to go to get a feel for it.
attractions,You see the landscape that you wouldn't be able too before.
attractions,EASY TO FORM AN OPINION OF THE AREA
attractions,good idea of how “big” it is
attractions,It was enlightening to see what Dubai looks like
attractions,it gives you a sense of what the city is like
attractions,Helpful
attractions,It was helpful
attractions,It is helpful
attractions,helpful
attractions,Quite useful
attractions,useful
attractions,Useful
attractions,Helpful
attractions,This is very useful
attractions,Helpful tool to explore
attractions,Insightful
attractions,very useful
attractions,It was helpful to see the top destinations
attractions,Helps to understand new area concepts
attractions,Increase knowledge area.
attractions,The VR tour gives a good idea of the layout of the city
attractions,educational
attractions,helps to see attractions
attractions,Felt like I was learning
attractions,"Helps to understand complex concepts, subjects, or theories."
attractions,Increase knowledge area.
attractions,It gave me a look into something I didn’t know much about
attractions,It let me see a lot of a place without going there
attractions,My view about Dubai has improved after taking the virtual tour.
attractions,I was able to gain an understanding of the layout.
attractions,The top over view gave me a better idea of how the environment was and which natural wonders I could potentially visit.
attractions,I can tell the quality of the beach
attractions,Able to see that it's a modern city
attractions,list of locations that are useful
attractions,The VR tour gives good insight into what there is to explore in Dubai.
attractions,See how walkable the location is
attractions,I felt I got a good feel of what the locations looked like
attractions,It is nice to be able to see the locations as they would appear in real life.
attractions,Check out a place before you go in real life
attractions,Good for planning itenerary
attractions,It really allowed me to explore places that I would have considered if I was there
attractions,A good way to pick where you want to stay and which attractions will be close
attractions,It makes for a great guide on what to do if you actually visit Dubai.
attractions,can do a quick tour to find out where you want to take the time to go to when you are actually there
attractions,It would be easy to reference items you click on and check them against tour books etc. to help plan your trip and specific tourist attractions.
attractions,I got a sense of how to get around
attractions,it helps to see where to go
attractions,It showed me what types of food I will come to expect
attractions,"I feel like I am actually walking around, which gives me idea of my travel plans"
attractions,Can be helpful for planning trips
attractions,it could help plan vacations
attractions,It gave ideas for activities
attractions,It showed me what fun things I could do in Dubai
attractions,It's a good way to find accomodation.
attractions,I liked being able to actually go into the hotel lobby and get an idea of where I might stay if traveling there
attractions,I liked being able to see the unique architecture
attractions,Able to see architecture in the city
attractions,Very nice architecture
attractions,the interface is well designed
attractions,Easy to use
attractions,It's very easy to use
attractions,Easy to use interface
attractions,easy to use
attractions,This is pretty easy to use.
attractions,Convenient
attractions,It was easy to use
attractions,Liked how easy it was for mobile
attractions,It is easy
attractions,Convinent
attractions,Easy
attractions,Easy to use
attractions,It is very easy to make use of virtual reality to get to know Dubai.
attractions,easy to use
attractions,Easy to use
attractions,easy to use
attractions,easy to use
attractions,easy to use
attractions,Very easy to use
attractions,very easy to use
attractions,Convenient
attractions,The UI is very clean and easy to use
attractions,Accessible
attractions,easy to use
attractions,made it easy
attractions,"It's easy to use. I knew I could click, but I chose to just key the video play so I could take in the whole scene."
attractions,It was easy to use
attractions,The GUI is also easy to use.
attractions,very easy to use
attractions,Easy to use
attractions,Easy to use
attractions,easy to use
attractions,Easy to use
attractions,I thought the interface was easy to use.
attractions,Ease
attractions,Convenient
attractions,Easy to use
attractions,It was easy to use and intuitive.
attractions,easy to use
attractions,Simple
attractions,ease of use
attractions,intuitive
attractions,The UI was easy to use generally
attractions,easy to use
attractions,easy to use
attractions,The tour guide was incredibly helpful
attractions,helpful vr usage guide
attractions,I would like to self-guide the tour
attractions,I liked the tutorial int he begining
attractions,Expands learners efficiency to gain knowledge
attractions,"It is an efficient way to learn new skills, as students can take online courses and workshops."
attractions,Save money
attractions,Convenient way to travel
attractions,Sensitivity to directional prompts (accuracy)
attractions,This is smooth and easy to use
attractions,the movement was steady
attractions,the transition was smooth
attractions,"tech was smooth, no glitching or unresponsive links"
attractions,it didnt have any distortion or lag
attractions,Smooth
attractions,moves at the right speed
attractions,the VR went at a nice steady pace
attractions,The navigation is smooth and quick
attractions,fast speed/no lagging movement
attractions,It moved in a consitient manner
attractions,The camera movement is just the right pace.
attractions,no lag or glitches
attractions,Everything is very fluid
attractions,It didnt lag
attractions,it seemed to run smoothly
attractions,Smooth pans across screen when moving
attractions,Smooth speed
attractions,No lag
attractions,Moving around was seamless
attractions,Navigation was easy and smooth
attractions,ran smoothly
attractions,predictable movement
attractions,The tour did not move too fast.
attractions,i can zoom out and see everything quickly
attractions,Zooms in to quickly
attractions,able to provide feedback quickly if needed
attractions,It was quick
attractions,Fast
attractions,Everything moves quickly
attractions,I was impressed by the snappy loading times.
attractions,The HUD was well done and responsive
attractions,It's nice to be able to move around quickly
attractions,Easy navagation
attractions,ease of movement
attractions,the controls were easy to use
attractions,I'm able to click easily on places I'm interested in.
attractions,I thought the controls were very intuitive and I was easily able to move around the scene.
attractions,It was easy to navigate between destinations
attractions,easy to navigate
attractions,Easy to navigate
attractions,This is very easy to navigate
attractions,Very easy to spot resorts
attractions,easy to navigate proccess
attractions,It is easy to navigate
attractions,it's so easy to navigate to other areas
attractions,Easy navigation
attractions,The website was easy to navigate
attractions,easy to navigate
attractions,Easy to move around
attractions,Easy to Navigage
attractions,It was easy to select places of interest and navigate to then
attractions,easy navigation
attractions,It was easy to navigate
attractions,easy interface to click and view
attractions,Liked being able to move around quickly
attractions,Easy to jump from one location to another
attractions,easy to jump from spot to spot
attractions,The video scenes went very slow.
attractions,moved slowly
attractions,nice slow pace
attractions,The slower movement allowed me to really look at things
attractions,It moved slowly so you could view what you wanted to
attractions,Pan was slow to allow for maximum enjoyment
attractions,Very slow and thorough pace
attractions,Easy to understand
attractions,clear instructions
attractions,easy to understand with names
attractions,I thought the instructiveness of the site was decent enough.
attractions,It's simple and easy to understand.
attractions,Easy to understand
attractions,the controls were intuitive
attractions,Easy to control
attractions,The controls were easy to use
attractions,The controls were very intuitive.
attractions,Easy interaction
attractions,It seems user friendly
attractions,Interface was user friendly
attractions,"I like the flexability of viewpoints, at areas of interest"
attractions,many choices
attractions,The site features great interactive tools
attractions,Lots of tools
attractions,There were many things to click on/look at
attractions,Options for exploration
attractions,there are a lot of features to explore in this!
attractions,Able to wander around to a lot of locations within the attractions
attractions,Lots of options to use
attractions,Variety of photos
attractions,There are a lot of options
attractions,There was a lot of luxury on display
attractions,The number of interaction spots available to explore
attractions,I like the amount of buttons
attractions,I was able to see attraction options to choose from
attractions,It looks like Venice at night
attractions,I liked seeing the sites at night
attractions,I liked the highlights spots indicating you could click on them
attractions,seeing the highlights of this country makes me want to visit there.
attractions,pin pointed specific recommended spots
attractions,Tabs to show specific highlights
attractions,I enjoy being able to click on popular destinations.
attractions,Easy to see all the highlights
attractions,Highlighted important locations
attractions,Good markers for points of interest
attractions,Showed highlights
attractions,good descriptions
attractions,It's nice that there are tags/a key marking the area
attractions,Being able to click on landmarks and get info
attractions,Having landmarks noted helped draw the eye
attractions,I like all the icons leading to points of interest
attractions,dream jump has a video i can click and look at the experience
attractions,My favorite and most interesting was being able to click on attractions for greater detail
attractions,Helpful labels
attractions,The landmarks were well marked
attractions,Having icons to click for different attractions made it easy to jump around.
attractions,The color coding of the various aspects of the tour would make it easy to distinguish things from a distance.
attractions,Clicking the attractions and going there was nice.
attractions,"The explore button was very handy, making it easier to find locations."
attractions,I enjoyed seeing landmarks while im in the air
attractions,A lot of options for places to explore
attractions,It’s cool you can click around
attractions,I like being able to use my mouse and arrow keys.
attractions,I like being able to click and go straight to a location
attractions,Better than a picture because it moved around
attractions,Way points to navigate to
attractions,I like that you can use the keyboard to look around
attractions,Freedom of looking around using Virtual Reality
attractions,The fact I could move the camera around during the timelapse is blowing my mind!
attractions,Its really nice being able to move around 360.
attractions,I could see how it could feel like I could control my tour
attractions,It seems to offer many controls and possibilities to look at Dubai as compared to just looking at photos online before traveling
attractions,I can choose what I want to see
attractions,The actual the recordings of events you could do like skydiving.
attractions,"Awesome, you can watch clips!"
attractions,"I loved how deep it was, particularly with the time lapse videos"
attractions,i liked time lapse
attractions,I liked being able to search for specific destinations
attractions,I appreciated the search feature.
attractions,I like that one feature where you're above the city and it shows a day to night cycle.
attractions,It showed the beauty of Dubai in both the daytime and nighttime.
attractions,day/night view
attractions,I like the variety of views available
attractions,Good variety of views
attractions,i liked how you can go inside and outside
attractions,Scenic from every location
attractions,The video showed both indoor and outdoor views.
attractions,Great variety of views
attractions,Liked being able to see interior and outer spots
attractions,I liked how the camera would move and show all angles
attractions,There were a lot of options to look at
attractions,there were a wide variety of shots
attractions,It gave a full view of each place
attractions,It was better than viewing still pictures
attractions,Sneak peak of mutiple vistas!
attractions,Nice camera levels
attractions,Good view points
attractions,A variety of scenes were presented
attractions,I liked being able to shift the perspective.
attractions,"It's nice to be able to see a wide, full shot of a location"
attractions,Some places had videos to play
attractions,HOLLISTIC VIEW OF THE TOWN
attractions,"Various types of media (still pictures, time lapse, etc)"
attractions,Liked the videos in 360
attractions,I liked the ability to rotate 360 degrees in all images
attractions,I liked the panoramic panning
attractions,360 degree view
attractions,See a 360 view
attractions,I like that there is a 360 view of everything
attractions,Good features (360 view)
attractions,really enjoyed the tour mode option
attractions,Enjoyed how there was automatic tours
attractions,The zoom feature worked well to examine areas of interest more in detail
attractions,I wanted to zoom in a lot.
attractions,Zoom function was helpful to read signs
attractions,Amazing views
attractions,The view was amazing
attractions,it was shot from great angles
attractions,It provide a great visual view of the city itself
attractions,View was good
attractions,It showed the sights nicely
attractions,the angles were nice
attractions,good views
attractions,have a good view
attractions,I liked the ability to see birds eye viewpoints
attractions,i like the ability to look at english translations
attractions,it seemed 3 dimensional instead of just looking at an image on the screen
attractions,I liked that you can see what it looks like in that city at current times.
attractions,All buttons seem to work as intended.
attractions,I can see clear labels delineating the type of establishment I am viewing.
attractions,I like that it's like a full panoramic view.
attractions,I like the zoom feature and the panoramic view of the city
attractions,Panoramic viewpoints
attractions,Extensive views of the areas
attractions,everything looked spacious
attractions,The view afforded by drones was impressive.
attractions,Watching timelapses from rooftops
attractions,Aerial shots are nice
attractions,the aerial view of the city was breathtaking
attractions,The fly over gave the scale and breath of the city
attractions,Enjoyed areal views especially
attractions,I liked the aerial views
attractions,Loved the head level photos
attractions,The hub mode to easily go back to the helicopter view was nice.
attractions,Liked being able to see sky views
attractions,I liked how you can view the hotel view from high up in the air.
attractions,The Atlantis Hotel with all of the rooms and private viewing of the rooms or building.
attractions,inside view
attractions,Inside of the mall your cool
attractions,The inside of the building showed amazing architecture.
attractions,Street view allowed a good look into what the society looks like if I were to visit
attractions,It gave me street views of the location.
attractions,new
attractions,Up to date
attractions,new to me
attractions,everything looked up to date
attractions,everything looked very new
attractions,new
attractions,Futuristic
attractions,Comprehensive
attractions,Comprehensive
attractions,It played fully.
attractions,I enjoyed how professional the tour was and how well it was set up
attractions,The scenes were amazingly put together
attractions,The site looks polished and finished.
attractions,I thought they picked really good places to show
attractions,Selected images were nice
attractions,The pictures they picked for the venues were nice
attractions,Captures the beauty of Dubai
attractions,good colors
attractions,The colors were vibrant.
attractions,Colorful
attractions,Colorful
attractions,The colors were vibrant and clear. Good cameras.
attractions,Love the pop of color
attractions,colorful pictures
attractions,It had some colorful images of the waterfront hotel
attractions,I loved that the colors were nice and bright
attractions,Colorful
attractions,The gigapixels from the Burj Khalifa were incredible. The detail on the whole panorama was amazing!
attractions,Very detailed
attractions,The ability to see things in detail that I will never see in person
attractions,lots of detail
attractions,I love the attention to detail
attractions,it is really detailed
attractions,The images were very detailed
attractions,Very detailed 360 degree photos
attractions,The VR was highly detailed
attractions,Really detailed
attractions,detailed description
attractions,you got to see a lot of things in detail
attractions,I was not expecting such detail and so many options
attractions,This is very detailed.
attractions,Very detailed imagery
attractions,Very detailed
attractions,Detailed
attractions,Very detailed
attractions,very detailed
attractions,ultra vivid images
attractions,Vivid
attractions,bright
attractions,bright
attractions,Lots of sunlight
attractions,I liked the lighting.
attractions,It gave great visuals
attractions,Allows me to see the beauty
attractions,Visually compelling
attractions,get a real good visual
attractions,looks very pretty
attractions,It was visually appealing.
attractions,Great visual perspectives
attractions,Glamorous
attractions,pretty visuals
attractions,It looks so good.
attractions,it looks stunning
attractions,Pretty
attractions,Breathtaking
attractions,pretty
attractions,visually pleasing
attractions,Good looking
attractions,Great view
attractions,Beauty
attractions,the visuals were very attractive
attractions,It was pretty
attractions,it was very pretty
attractions,Attractive
attractions,wow this is pretty
attractions,Scenic
attractions,It’s very pretty
attractions,Pretty
attractions,Visually appealing
attractions,the ocean
attractions,The water was stunning
attractions,pretty ocean view
attractions,Nice viewpoints of some desirable areas
attractions,stunning views
attractions,Stunning views... I wish I could virtually travel all over the world
attractions,The tour view was nice to just sit back and watch
attractions,Some of the scenes it showed were very pretty.
attractions,showed beauty of Dubai
attractions,the images were high quality
attractions,Good quality of photos
attractions,Nice photography
attractions,The graphics are phenomenal
attractions,The pictures were high quality
attractions,picture looked really great
attractions,High-quality graphics
attractions,Nice images
attractions,Good quality video.
attractions,I loved the high quality photography
attractions,High res images
attractions,good quality image
attractions,good graphics
attractions,Good photos
attractions,the video was high quality
attractions,high quality photos
attractions,the photos were of high quality
attractions,There were quite hi-res photos taken of various places
attractions,Excellent Images
attractions,The shots used were nice
attractions,high quality video
attractions,The images were really high quality even when zoomed in
attractions,High quality visuals
attractions,The images are so crisp and seamless.
attractions,Quality of pictures is great as well!
attractions,great quality photos
attractions,High quality graphics
attractions,High Quality Graphics
attractions,Good graphics
attractions,Good video quality
attractions,The quality of the images was high.
attractions,Some of the images were nice looking
attractions,I also enjoyed the picture quality.
attractions,The quality of images was really good
attractions,Quality of images was excellent
attractions,high-quality images
attractions,The video quality was very good.
attractions,The high resolution images were impressive
attractions,good resolution
attractions,Very high resolution
attractions,Good resolution.
attractions,Crisp resolution
attractions,It was high resolution
attractions,great quality vr graphics
attractions,nice resolution
attractions,Very high def
attractions,The images were clear
attractions,clear photos
attractions,the pictures where clear
attractions,It was very clear video
attractions,Very clear images
attractions,The images are crystal clear.
attractions,clear images
attractions,clear views
attractions,The image quality is really clear
attractions,it was clear and concise
attractions,The picture was crisp.
attractions,video was clear
attractions,clear views
attractions,Clear
attractions,clear image
attractions,The video is clear.
attractions,Clear
attractions,clear picture
attractions,Clear image
attractions,I thought that the images were very sharp and clear
attractions,Clear
attractions,Images are very clear
attractions,Clear images
attractions,clear picture
attractions,Very clear picture
attractions,Clear images
attractions,I enjoyed how clear the images were.
attractions,The video quality is high and the image is clear.
attractions,the picture was very clear and lifelike
attractions,the images were clear
attractions,very clear
attractions,Clear images
attractions,"Clarity in the picture, even when zooming"
attractions,Video images were clear
attractions,I can see the place clearly
attractions,The views are very clear
attractions,Clarity
attractions,Video clarity was very good.
attractions,clear
attractions,How clear images were
attractions,it was clear
attractions,clear view
attractions,neat
attractions,Clean street scenes
attractions,Looked clean
