 No.,Order,VR quality,Code 2,Code 3,Code name,Comment,
3,VRQ_3,Interactive technology,1.1,1.1,Utilitarian-Interaction,,
6,VRQ_1,it was very quick and reactive,1.1,1.1,Utilitarian-Interaction,,
15,VRQ_1,It was interactive,1.1,1.1,Utilitarian-Interaction,,
108,VRQ_2,very helpful to move around like this,1.1,1.1,Utilitarian-Interaction,,
127,VRQ_3,I had control over where to go,1.1,1.1,Utilitarian-Interaction,,
296,VRQ_3,this is interactive.,1.1,1.1,Utilitarian-Interaction,,
338,VRQ_3,I like all the interactions that you can do by clicking just from your screen,1.1,1.1,Utilitarian-Interaction,,
373,VRQ_1,NICE AND INTERACTIVE,1.1,1.1,Utilitarian-Interaction,,
97,VRQ_2,The shots were mostly of interesting places,,1.2, High-quality Content preparation,,
160,VRQ_3,It gave me actual movies of doing things.,1.5,1.2, High-quality Content preparation,,
204,VRQ_3,this is a decent selection of areas to explore,1.7,1.2, High-quality Content preparation,,
254,VRQ_3,The information on the sites was good,1.8,1.2, High-quality Content preparation,,
161,VRQ_3,The interface makes sense and is good at being low-profile.,1.4,1.3.9,Overall user interface satisfaction ,1.3.9,
390,VRQ_2,"A great deal of ease, no problems doing what I wanted",1.4,1.4.1,Easy to use (overall),1.4.1,
390,VRQ_1,"A lot of sceneries and options, I can visited most beautiful spots",1.5,1.1.2,Lots to do,1.1.2,
187,VRQ_2,open for anyone,1.6,1.6,Utilitarian-Others,1.6,
186,VRQ_1,I love the frame rate,1.9,1.6,frame rate,1.6,
390,VRQ_4,"Lighting was nice, everything was bright and filled with colors",2.1,2.1.12,Lighting ,2.1.12,
392,VRQ_3,It was relaxing,2.3,2.2.4,Relaxing experience,2.2.4,
215,DQ_3,"Considering I could probably spend a few days, just on this virtual tour, then there's no shortage of things to actually see, when I'm there.",2.5,,,intention to stay in VR,
166,VRQ_2,Opulent,2.6,2.2.2,Luxury experience,2.2.2,
299,VRQ_2,attractive,2.6,2.6,Attractiveness,,
1,VRQ_1,It was well done,3,3,General perceived quality,,
1,VRQ_2,The tour was excellent,3,3,General perceived quality,,
19,VRQ_1,this is really neat,3,2.1.9,Cleaness and neatness,2.1.9,
27,VRQ_3,generally well done,3,3,High quality (overall),,
27,VRQ_1,high quality,3,3,General perceived quality,,
38,VRQ_2,Fantastic!,3,3,General perceived quality,,
38,VRQ_5,I love technology!,3,3,General perceived quality,,
38,VRQ_8,I love this!,3,3,General perceived quality,,
52,VRQ_3,It is high tech,3,1.6.1,Up to date technology,,
62,VRQ_3,I'd like to use this tool to explore other places.,3,,,intention to stay in VR,
67,VRQ_2,The VR was high quality,3,3,General perceived quality,,
67,VRQ_3,The VR was thorough,3,1.6.2,Sofisticated design,1.6.2,
68,VRQ_2,high quality,3,3,General perceived quality,,
74,VRQ_3,better than paper catalog,3,,,comparison,
78,VRQ_1,It is an incredible technology that allows you to visualize through a computer the destination you would like to visit.,3,1.3.1,Overall destination preview,1.3.1,
82,VRQ_2,Great Technology,3,3,General perceived quality,,
85,VRQ_2,Ritzy,3,2.2.2,Luxury experience,2.2.2,
86,VRQ_2,Well made.,3,3,General perceived quality,,
86,VRQ_3,Well thought out.,3,1.6.2,Sofisticated design,1.6.2,
110,VRQ_3,vr is awesome,3,3,General perceived quality,,
134,VRQ_2,Captivating,3,2.2.16,Engaging experience,2.2.16,
135,VRQ_2,Breathtaking,3,2.2.14,Excitement,2.2.14,
136,VRQ_3,It is amazing that this technology exists to give me this experience,3,3,General perceived quality,,
151,VRQ_1,This is great technology,3,3,General perceived quality,,
189,VRQ_3,The key provided helps you determine what you want to click on.,3,1.5.14,Ability to click on destination labels,,
194,VRQ_3,I should use VCR technology more often for other purposes as well.,3,,,intention to use VR,
197,VRQ_3,Virtual reality is awesome I love this technology,3,3,General perceived quality,,
218,VRQ_3,this is a new viewing experience of dubai for me,3,1.3.1,Overall destination preview,,
219,VRQ_1,Quality was good,3,3,General perceived quality,,
231,VRQ_7,I think VR is a great tech,3,3,General perceived quality,,
233,VRQ_2,The GUI ( Graphical User Interface ) seems very appealing.,,1.3.9,Overall user interface satisfaction ,1.3.9,
235,VRQ_2,Sleek,3,3,General perceived quality,,
236,VRQ_3,Robust,3,3,General perceived quality,,
238,VRQ_2,Nice,3,3,General perceived quality,,
242,VRQ_2,Active experience rather than just passive information.,3,3,General perceived quality,,
266,VRQ_1,Overall the virtual tour worked very well.,3,3,General perceived quality,,
273,VRQ_1,The technology is great,3,3,High-quality technology (overall),,
285,VRQ_2,Accurate,3,3,General perceived quality,,
290,VRQ_3,Satisfying,3,3,General perceived quality,,
299,VRQ_3,QUALITY,3,3,High-quality technology (overall),,
303,VRQ_3,its impresive,3,3,General perceived quality,,
304,VRQ_10,everything seemed well maintained,3,3,General perceived quality,,
304,VRQ_3,everything was well lit,3,3,General perceived quality,,
316,VRQ_3,Was put together well,3,3,General perceived quality,,
344,VRQ_1,Great technology,3,3,General perceived quality,,
345,VRQ_2,The technology is helpful.,3,3,General perceived quality,,
354,VRQ_2,I love virtual tours like this,3,3,General perceived quality,,
356,VRQ_4,I would use this technology in more places,3,3,General perceived quality,,
381,VRQ_2,It worked as described,3,3,General perceived quality,,
54,VRQ_3,I could see a part of the world I normally would not be able to see,4,1.3.1,Overall destination preview,?,
112,VRQ_8,"I wonder if you can ""VR tour"" other places with this website.",4,4,Discuss latter,Other possibilities,
182,VRQ_6,It can be used to provide valuable medical services such as remote consultations.,4,4,Discuss latter,Other possibilities,
228,VRQ_1,It's incredibly thorough and comprehensive,4,1.6.2,Comprehensive design,1.6.2,
10,VRQ_1,So much to see,1.7,1.1.1,Variety of places,,
11,VRQ_2,Showed different parts,1.5,1.1.1,Variety of places,,
13,VRQ_3,it was nice to see such a variety of locations,1.7,1.1.1,Variety of places,,
36,VRQ_5,diverse landscapes shown,1.7,1.1.1,Variety of places,,
49,VRQ_3,Provided many different types of locations,1.5,1.1.1,Variety of places,,
77,VRQ_3,showed muplitple places instead of just one,1.5,1.1.1,Variety of places,,
81,VRQ_2,it showed a wide variety of places,1.3,1.1.1,Variety of places,,
94,VRQ_3,There were a lot of things to look at within the tour,1.3,1.1.1,Variety of places,,
112,VRQ_3,There are so many places to check out.,1.7,1.1.1,Variety of places,,
122,VRQ_3,there were a variety of areas shown in the tour,1.7,1.1.1,Variety of places,,
122,VRQ_2,there were lots of places to click on,1.5,1.1.1,Variety of places,,
127,VRQ_1,I could see many places,1.7,1.1.1,Variety of places,,
128,VRQ_4,It has a lot of the views you would actually want to go to.,1.7,1.1.1,Variety of places,,
159,VRQ_3,It showed different locations,1.7,1.1.1,Variety of places,,
160,VRQ_2,It allowed me to travel to many locations.,1.5,1.1.1,Variety of places,,
167,VRQ_1,I thought it showed some a lot of space,1.3,1.1.1,Variety of places,,
169,VRQ_2,diverse attractions,1.7,1.1.1,Variety of places,,
176,VRQ_1,there were alot of options to choose to visit,1.5,1.1.1,Variety of places,,
234,VRQ_1,It showed a variety of different places,1.8,1.1.1,Variety of places,,
239,VRQ_2,lots of destinations to look at,1.3,1.1.1,Variety of places,,
240,VRQ_1,It showed several different destinations in Dubai,1.8,1.1.1,Variety of places,,
257,VRQ_3,The video shows a variety of locations and places to explore.,1.7,1.1.1,Variety of places,,
284,VRQ_1,How extensive the scenery was covered,1.5,1.1.1,Variety of places,,
289,VRQ_2,It showed various aspects I'd the area that I was interested in.,1.9,1.1.1,Variety of places,,
301,VRQ_3,I liked that I could look at a lot of different things.,1.7,1.1.1,Variety of places,,
315,VRQ_3,Huge variety of attractions,1.7,1.1.1,Variety of places,,
321,VRQ_3,There were a lot of areas to explore.,1.7,1.1.1,Variety of places,,
335,VRQ_3,Lots of information about different attractions and locations in Dubai,1.7,1.1.1,Variety of places,,
350,VRQ_1,I can view notable and important places,1.5,1.1.1,Variety of places,,
361,VRQ_4,many attractions to choose from,1.7,1.1.1,Variety of places,,
61,VRQ_1,A lot of places to look around,Destination Quality,1.1.2,Lots to do,?,
135,VRQ_3,So much to do,1.7,1.1.2,Lots to do,,
225,VRQ_3,lots to do,1.7,1.1.2,Lots to do,,
225,VRQ_4,lots to see,1.7,1.1.2,Lots to do,,
294,VRQ_2,There is a lot to see,1.7,1.1.2,Lots to do,,
30,VRQ_3,Informative,Same information,1.1.3,Informative,?,
314,VRQ_3,Informational,Same information,1.1.3,Informative,?,
42,VRQ_1,It was informative,1.3,1.1.3,Informative,,
117,VRQ_1,Very informative,1.3,1.1.3,Informative,,
126,VRQ_2,informative,1.3,1.1.3,Informative,,
154,VRQ_2,Informative,1.3,1.1.3,Informative,,
278,VRQ_3,informational,1.3,1.1.3,Informative,,
311,VRQ_3,It’s informative,1.3,1.1.3,Informative,,
336,VRQ_3,Informative,1.3,1.1.3,Informative,,
354,VRQ_3,it was informational,1.3,1.1.3,Informative,,
356,VRQ_3,This method of visiting can give you a lot of information,1.3,1.1.3,Informative,,
7,VRQ_5,Great preview of Dubai,1.3,1.3.1,Overall destination preview,,
17,VRQ_1,I can get a sense of the landscape.,1.3,1.3.1,Overall destination preview,,
17,VRQ_2,I can see a full sweep of things.,1.3,1.3.1,Overall destination preview,,
28,VRQ_2,Like traveling without having to leave my house,2.5,1.3.1,Overall destination preview,,
34,VRQ_3,It looked like a nice destination,Destination Quality,1.3.1,Overall destination preview,,
70,VRQ_1,It gave a good view of the landscape and what the city looks like,1.5,1.3.1,Overall destination preview,,
81,VRQ_3,it helped me get an idea of what the city looks like,1.3,1.3.1,Overall destination preview,,
101,VRQ_2,get a sense of the scenery from a balcony view,1.3,1.3.1,Overall destination preview,,
115,VRQ_3,Get a good idea of views,1.3,1.3.1,Overall destination preview,,
159,VRQ_1,It showed sights,1.5,1.3.1,Overall destination preview,,
164,VRQ_2,It seems to give a good idea of what it looks like in person,1.3,1.3.1,Overall destination preview,,
170,VRQ_3,This medium provides an avenue for exploration.,1.3.1 ,1.3.1,Overall destination preview,,
234,VRQ_3,I could get a sense of what the places looked like on the ground,1.3,1.3.1,Overall destination preview,,
246,VRQ_3,The technology offers a good introduction to the area.,1.8,1.3.1,Overall destination preview,,
248,VRQ_1,Covers a good amount of Dubai,1.3,1.3.1,Overall destination preview,,
262,VRQ_1,I was able to view some interesting sites,1.3,1.3.1,Overall destination preview,,
272,VRQ_1,It's nice to be able to see Dubai,1.3,1.3.1,Overall destination preview,,
277,VRQ_1,It helped set an idea on what Dubai will look like,1.3,1.3.1,Overall destination preview,,
295,VRQ_1,I can get a very clear idea of what visiting Dubai would be like,1.3,1.3.1,Overall destination preview,,
333,VRQ_1,I was able to get a sense of what was around there.,1.3,1.3.1,Overall destination preview,,
341,VRQ_1,Gives you the feel of the place,1.3,1.3.1,Overall destination preview,,
341,VRQ_2,you get to see how the place looks like,1.3,1.3.1,Overall destination preview,,
344,VRQ_2,See a different part of the world,1.3,1.3.1,Overall destination preview,,
350,VRQ_2,I can see a place that I have never been before,1.3,1.3.1,Overall destination preview,,
367,VRQ_3,Can see it before you ever get to go to get a feel for it.,1.3,1.3.1,Overall destination preview,,
367,VRQ_1,You see the landscape that you wouldn't be able too before.,1.3,1.3.1,Overall destination preview,,
373,VRQ_3,EASY TO FORM AN OPINION OF THE AREA,1.3,1.3.1,Overall destination preview,,
375,VRQ_3,good idea of how “big” it is,1.3,1.3.1,Overall destination preview,,
379,VRQ_1,It was enlightening to see what Dubai looks like,1.3,1.3.1,Overall destination preview,,
383,VRQ_3,it could be helpful for showing people who can’t afford long distance travel different places in the world,1.3,1.3.1,Overall destination preview,,
384,VRQ_1,Able to see a travel destination,1.3,1.3.1,Overall destination preview,,
19,DQ_3,it gives you a sense of what the city is like,1.3,1.3.1 ,Overall destination preview,,
30,VRQ_2,Helpful,1.3,1.3.2,Overall Useful/helpful information,,
42,VRQ_3,It was helpful,1.3,1.3.2,Overall Useful/helpful information,,
52,VRQ_1,It is helpful,1.3,1.3.2,Overall Useful/helpful information,,
92,VRQ_2,helpful,1.3,1.3.2,Overall Useful/helpful information,,
209,VRQ_2,useful information,1.3,1.3.2,Overall Useful/helpful information,,
223,VRQ_1,Quite useful,1.3,1.3.2,Overall Useful/helpful information,,
251,VRQ_3,useful,1.3,1.3.2,Overall Useful/helpful information,,
268,VRQ_3,Useful,1.3,1.3.2,Overall Useful/helpful information,,
274,VRQ_3,Helpful,1.3,1.3.2,Overall Useful/helpful information,,
294,VRQ_4,This is very useful,1.3,1.3.2,Overall Useful/helpful information,,
316,VRQ_2,Helpful tool to explore,1.3,1.3.2,Overall Useful/helpful information,,
342,VRQ_2,Insightful,1.3,1.3.2,Overall Useful/helpful information,,
364,VRQ_1,very useful,1.3,1.3.2,Overall Useful/helpful information,,
69,VRQ_3,It was helpful to see the top destinations,Same information,1.3.3,To increase the destiantion knowledge,?,
89,VRQ_2,Helps to understand new area concepts,1.3,1.3.3,To increase the destiantion knowledge,,
89,VRQ_1,Increase knowledge area.,1.3,1.3.3,To increase the destiantion knowledge,,
114,VRQ_1,The VR tour gives a good idea of the layout of the city,1.3,1.3.3,To increase the destiantion knowledge,,
126,VRQ_3,educational,1.3,1.3.3,To increase the destiantion knowledge,,
212,VRQ_1,helps to see attractions,1.3,1.3.3,To increase the destiantion knowledge,,
229,VRQ_3,Felt like I was learning,1.3,1.3.3,To increase the destiantion knowledge,,
242,VRQ_3,"Helps to understand complex concepts, subjects, or theories.",1.3,1.3.3,To increase the destiantion knowledge,,
242,VRQ_1,Increase knowledge area.,1.3,1.3.3,To increase the destiantion knowledge,,
261,VRQ_1,It gave me a look into something I didn’t know much about,1.3,1.3.3,To increase the destiantion knowledge,,
261,VRQ_2,It let me see a lot of a place without going there,1.3,1.3.3,To increase the destiantion knowledge,,
266,VRQ_3,My view about Dubai has improved after taking the virtual tour.,1.3,1.3.3,To increase the destiantion knowledge,,
288,VRQ_4,I was able to gain an understanding of the layout.,1.3,1.3.3,To increase the destiantion knowledge,,
289,VRQ_4,The top over view gave me a better idea of how the environment was and which natural wonders I could potentially visit.,1.3,1.3.3,To increase the destiantion knowledge,,
295,VRQ_2,I can tell the quality of the beach,1.3,1.3.3,To increase the destiantion knowledge,,
384,VRQ_3,Able to see that it's a modern city,1.3,1.3.3,To increase the destiantion knowledge,,
105,VRQ_3,Lots of different locations,1.3,1.3.4,To get location and layout information,,
113,VRQ_3,list of locations that are useful,1.3,1.3.4,To get location and layout information,,
114,VRQ_2,The VR tour gives good insight into what there is to explore in Dubai.,1.3,1.3.4,To get location and layout information,,
115,VRQ_4,See how walkable the location is,1.3,1.3.4,To get location and layout information,,
167,VRQ_3,I felt I got a good feel of what the locations looked like,1.3,1.3.4,To get location and layout information,,
257,VRQ_1,It is nice to be able to see the locations as they would appear in real life.,2.5,1.3.4,To get location and layout information,,
279,VRQ_2,I can get a good sense of where different locations are,1.3,1.3.4,To get location and layout information,,
23,VRQ_3,Check out a place before you go in real life,1.3,1.3.5,To plan the travel,,
41,VRQ_1,Good for planning itenerary,1.3,1.3.5,To plan the travel,,
73,VRQ_1,It really allowed me to explore places that I would have considered if I was there,1.3,1.3.5,To plan the travel,,
78,VRQ_2,This way can help people decide whether to visit the destination or not.,1.3,1.3.5,To plan the travel,,
115,VRQ_2,A good way to pick where you want to stay and which attractions will be close,1.3,1.3.5,To plan the travel,,
128,VRQ_3,It makes for a great guide on what to do if you actually visit Dubai.,1.3,1.3.5,To plan the travel,,
168,DQ_3,can do a quick tour to find out where you want to take the time to go to when you are actually there,1.3,1.3.5,To plan the travel,,
189,VRQ_5,It would be easy to reference items you click on and check them against tour books etc. to help plan your trip and specific tourist attractions.,1.3,1.3.5,To plan the travel,,
205,VRQ_3,I got a sense of how to get around,1.3,1.3.5,To plan the travel,,
212,VRQ_2,it helps to see where to go,1.3,1.3.5,To plan the travel,,
277,VRQ_3,It showed me what types of food I will come to expect,1.3,1.3.5,To plan the travel,,
295,VRQ_3,"I feel like I am actually walking around, which gives me idea of my travel plans",1.3,1.3.5,To plan the travel,,
327,VRQ_1,Can be helpful for planning trips,1.3,1.3.5,To plan the travel,,
345,VRQ_3,A definite plus in helping with finding a destination to visit.,1.3,1.3.5,To plan the travel,,
364,VRQ_2,it could help plan vacations,1.3,1.3.5,To plan the travel,,
383,VRQ_1,this technology could help people decide whether they want to go to the places shown in VR tours,1.3,1.3.5,To plan the travel,,
159,VRQ_2,It gave ideas for activities,1.3,1.3.6,To know the destination activites,,
277,VRQ_2,It showed me what fun things I could do in Dubai,1.3,1.3.6,To know the destination activites,,
279,VRQ_3,I can look inside various locations to see if they are interesting to visit in person,1.7,1.3.6,Inside-building view,,
114,VRQ_3,It's a good way to find accomodation.,1.3,1.3.7,Hotel plan,,
147,VRQ_2,I liked being able to actually go into the hotel lobby and get an idea of where I might stay if traveling there,1.3,1.3.7,Hotel plan,,
9,VRQ_1,I liked being able to see the unique architecture,1.3,1.3.8,Desination architecture,?,
384,VRQ_2,Able to see architecture in the city,1.3,1.3.8,Desination architecture,?,
59,VRQ_1,Very nice architecture,Destination quality,1.3.8,Desination architecture,?,
19,VRQ_5,the interface is well designed,1.5,1.3.9,Overall user interface satisfaction ,,
7,VRQ_1,Easy to use,1.4,1.4.1,Easy to use (Overall),,
22,VRQ_4,It's very easy to use,1.4,1.4.1,Easy to use (Overall),,
24,VRQ_2,Easy to use interface,1.4,1.4.1,Easy to use (Overall),,
27,VRQ_2,easy to use,1.4,1.4.1,Easy to use (Overall),,
31,VRQ_5,This is pretty easy to use.,1.4,1.4.1,Easy to use (Overall),,
39,VRQ_3,Convenient,1.4,1.4.1,Easy to use (Overall),,
42,VRQ_2,It was easy to use,1.4,1.4.1,Easy to use (Overall),,
48,VRQ_3,Liked how easy it was for mobile,1.4,1.4.1,Easy to use (Overall),,
52,VRQ_2,It is easy,1.4,1.4.1,Easy to use (Overall),,
56,VRQ_1,Convinent,1.4,1.4.1,Easy to use (Overall),,
56,VRQ_3,Easy,1.4,1.4.1,Easy to use (Overall),,
66,VRQ_1,Easy to use,1.4,1.4.1,Easy to use (Overall),,
71,VRQ_3,It is very easy to make use of virtual reality to get to know Dubai.,1.4,1.4.1,Easy to use (Overall),,
80,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
89,VRQ_3,Easy to use,1.4,1.4.1,Easy to use (Overall),,
92,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
108,VRQ_3,easy to use,1.4,1.4.1,Easy to use (Overall),,
116,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
117,VRQ_3,Very easy to use,1.4,1.4.1,Easy to use (Overall),,
125,VRQ_1,very easy to use,1.4,1.4.1,Easy to use (Overall),,
130,VRQ_1,Convenient,1.4,1.4.1,Easy to use (Overall),,
148,VRQ_2,The UI is very clean and easy to use,1.4,1.4.1,Easy to use (Overall),,
163,VRQ_2,The tour was easy to use and provided good information,1.4,1.4.1,Easy to use (Overall),,
165,VRQ_3,Accessible,1.4,1.4.1,Easy to use (Overall),,
175,VRQ_6,easy to use,1.4,1.4.1,Easy to use (Overall),,
187,VRQ_1,made it easy,1.4,1.4.1,Easy to use (Overall),,
189,VRQ_7,"It's easy to use. I knew I could click, but I chose to just key the video play so I could take in the whole scene.",1.4,1.4.1,Easy to use (Overall),,
229,VRQ_1,It was easy to use,1.4,1.4.1,Easy to use (Overall),,
233,VRQ_1,The GUI is also easy to use.,1.4,1.4.1,Easy to use (Overall),,
237,VRQ_1,very easy to use,1.4,1.4.1,Easy to use (Overall),,
253,VRQ_2,Easy to use,1.4,1.4.1,Easy to use (Overall),,
274,VRQ_2,Easy to use,1.4,1.4.1,Easy to use (Overall),,
278,VRQ_2,easy to use,1.4,1.4.1,Easy to use (Overall),,
283,VRQ_3,Easy to use,1.4,1.4.1,Easy to use (Overall),,
321,VRQ_1,I thought the interface was easy to use.,1.4,1.4.1,Easy to use (Overall),,
326,VRQ_1,Ease,1.4,1.4.1,Easy to use (Overall),,
327,VRQ_3,Convenient,1.4,1.4.1,Easy to use (Overall),,
332,VRQ_2,Easy to use,1.4,1.4.1,Easy to use (Overall),,
333,VRQ_3,It was easy to use and intuitive.,1.4,1.4.1,Easy to use (Overall),,
336,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
342,VRQ_3,Simple,1.4,1.4.1,Easy to use (Overall),,
351,VRQ_3,ease of use,1.4,1.4.1,Easy to use (Overall),,
355,VRQ_1,intuitive,1.4,1.4.1,Easy to use (Overall),,
363,VRQ_9,The UI was easy to use generally,1.4,1.4.1,Easy to use (Overall),,
364,VRQ_3,easy to use,1.4,1.4.1,Easy to use (Overall),,
366,VRQ_2,easy to use,1.4,1.4.1,Easy to use (Overall),,
130,VRQ_3,Information Guide,1.3,1.4.10,Helful tour guide,,
173,VRQ_3,The tour guide was incredibly helpful,1.3,1.4.10,Helful tour guide,,
221,VRQ_2,helpful vr usage guide,1.5,1.4.10,Helful tour guide,,
231,VRQ_9,I would like to self-guide the tour,Negative,1.4.10,Helful tour guide,,
363,VRQ_10,I liked the tutorial int he begining,1.5,1.4.10,Helful tour guide,,
7,VRQ_6,Quick overview of potential vacation destination,2.3/1.3,1.4.11,Efficient to learn,,
81,VRQ_1,it's convenient to see possible destination choices,1.5,1.4.11,Efficient to learn,,
89,VRQ_4,Expands learners efficiency to gain knowledge,1.4,1.4.11,Efficient to learn,,
182,VRQ_3,"It is an efficient way to learn new skills, as students can take online courses and workshops.",1.4,1.4.11,Efficient to learn,,
23,VRQ_2,Save money,1.6,1.4.12,Money wise,,
43,VRQ_3,Convenient way to travel,1.4,1.4.12,Others-Conceniency,,
291,VRQ_3,Sensitivity to directional prompts (accuracy),1.4,1.4.12,Sensitivity,,
249,VRQ_3,This is smooth and easy to use,1.4,1.4.2,Smooth run,easy to use,
16,VRQ_2,the movement was steady,1.4,1.4.2,Smooth run,,
16,VRQ_1,the transition was smooth,1.4,1.4.2,Smooth run,,
41,VRQ_4,"tech was smooth, no glitching or unresponsive links",1.4,1.4.2,Smooth run,,
57,VRQ_1,it didnt have any distortion or lag,1.4,1.4.2,Smooth run,,
60,VRQ_1,Smooth,1.4,1.4.2,Smooth run,,
75,VRQ_2,moves at the right speed,1.4,1.4.2,Smooth run,,
77,VRQ_1,the VR went at a nice steady pace,1.4,1.4.2,Smooth run,,
106,VRQ_4,The navigation is smooth and quick,1.4,1.4.2,Smooth run,,
116,VRQ_3,fast speed/no lagging movement,1.4,1.4.2,Smooth run,,
118,VRQ_2,It moved in a consitient manner,1.4,1.4.2,Smooth run,,
129,VRQ_3,The camera movement is just the right pace.,1.4,1.4.2,Smooth run,,
221,VRQ_3,no lag or glitches,1.4,1.4.2,Smooth run,,
227,VRQ_2,Everything is very fluid,1.4,1.4.2,Smooth run,,
243,VRQ_2,It didnt lag,1.4,1.4.2,Smooth run,,
265,VRQ_1,The technology was easy flowing.,1.4,1.4.2,Smooth run,,
271,VRQ_1,it seemed to run smoothly,1.4,1.4.2,Smooth run,,
