 No.,Order,VR quality,Code 2,Code 3,Code name,Comment,
39,VRQ_2,It almost felt like physically being there,2.5,2.4.3,Presence,,
63,VRQ_2,it seemed real,2.5,2.4.1,Realness,,
74,VRQ_2,gives a good feel for the physical space,2.5,2.4.1,Realness,,
87,VRQ_3,Life-like,2.5,2.4.1,Realness,,
101,VRQ_3,the layout seems to be to scale and exactly the same layout as the city of Dubai.,2.5,2.4.1,Realness,,
113,VRQ_2,realistic viewpoints,2.5,2.4.1,Realness,,
125,VRQ_2,realist feel,2.5,2.4.1,Realness,,
131,VRQ_2,it felt so real,2.5,2.4.1,Realness,,
134,VRQ_1,Realistic,2.2,2.4.1,Realness,,
142,VRQ_1,seeing thing as if you are there,2.5,2.4.3,Presence,,
145,VRQ_2,It is like an in person google maps,2.5,2.4.3,Presence,,
150,VRQ_3,It felt like I was there since there were not people in the pictures like most online videos.,2.5,2.4.3,Presence,,
173,VRQ_1,It was easy to imagine yourself there,2.5,2.4.3,Presence,,
192,VRQ_3,close to reality,2.5,2.4.1,Realness,,
194,VRQ_1,It is like a real visit.,2.5,2.4.1,Realness,?,
212,VRQ_3,gives a feel for what it is like to be there,2.5,2.4.3,Presence,,
223,VRQ_2,Very realistic,2.2,2.4.1,Realness,,
273,VRQ_3,The VR is very life like,2.5,2.4.1,Realness,,
306,VRQ_5,"the water was inviting, I could see myself on the beach",2.5,2.4.3,Presence,Destination quality?,
325,VRQ_1,It’s realistic,2.5,2.4.1,Realness,,
338,VRQ_1,It looks exactly how it would in person,2.5,2.4.3,Presence,,
370,VRQ_3,it made me feel like i was riding a dirt bike in the desert,2.5,2.4.3,Presence,,
376,VRQ_1,Realistic,2.5,2.4.1,Realness,,
381,VRQ_1,It allowed me a realistic tour,2.5,2.4.1,Realness,,
13,VRQ_2,the panoramic view was immersive,2.5,2.4.2,Immersion,2.4.2,
34,VRQ_2,I felt it could be more immersive as well,2.5,2.4.2,Immersion,2.4.2,
35,VRQ_1,It is immersive,2.5,2.4.2,Immersion,2.4.2,
57,VRQ_2,it panned through the scenes at a good pace to make it more immersive,2.5,2.4.2,Immersion,2.4.2,
63,VRQ_1,Felt immersed,2.5,2.4.2,Immersion,2.4.2,
68,VRQ_1,Immersive,2.5,2.4.2,Immersion,2.4.2,
69,VRQ_1,Immersive experience,2.5,2.4.2,Immersion,2.4.2,
71,VRQ_2,It is easy to feel immersed in this experience.,2.5,2.4.2,Immersion,2.4.2,
73,VRQ_3,It felt really immerse when I was exploring,2.5,2.4.2,Immersion,2.4.2,
80,VRQ_5,immersive,2.5,2.4.2,Immersion,2.4.2,
87,VRQ_2,Immersive,2.5,2.4.2,Immersion,2.4.2,
104,VRQ_1,I felt like it wasn't virtual.,2.5,2.4.1,Realness,2.4.1,
104,VRQ_3,I was very caught up in what I was seeing,2.5,2.2.16,Engaging experience,2.2.16,
131,VRQ_3,it felt like I am traveling in reality - wow,2.5,2.4.1,Realness,2.4.1,
131,VRQ_1,it felt like i was actually there,2.5,2.4.3,Presence,2.4.3,
136,VRQ_1,It felt like I was immersed into the destination,2.5,2.4.2,Immersion,2.4.2,
151,VRQ_3,This looks like I am there right now.,2.5,2.4.3,Presence,2.4.3,
158,VRQ_1,You could imagine being in the spaces.,2.5,2.4.3,Presence,2.4.3,
162,VRQ_2,The look into the buildings was very immersive I got a detailed look into the building and the art works it offered.,2.5,2.4.2,Immersion,"? 1.5.8	Inside-building viewpoints",
168,VRQ_3,as if you are on the ground there,2.5,2.4.3,Presence,2.4.3,
170,VRQ_2,The experience feels immersive.,2.5,2.4.2,Immersion,2.4.2,
175,VRQ_3,immersive,2.5,2.4.2,Immersion,2.4.2,
177,VRQ_3,Excellent immersion,2.5,2.4.2,Immersion,2.4.2,
178,VRQ_2,Felt like I was actually standing in the street,2.5,2.4.3,Presence,2.4.3,
182,VRQ_7,"It can provide an immersive experience for gaming, allowing players to interact with their favorite characters and worlds.",2.5,2.4.2,Immersion,2.4.2,
197,VRQ_2,I really felt like I was there,2.5,2.4.3,Presence,2.4.3,
205,VRQ_2,I felt immersed in the images,2.5,2.4.2,Immersion,2.4.2,
206,VRQ_1,immersive,2.5,2.4.2,Immersion,2.4.2,
244,VRQ_2,I felt like I was there.,2.5,2.4.3,Presence,2.4.3,
258,VRQ_1,It is very detailed and interactive so it feels like you could be in the place itself (e.g. a hotel room),2.5,2.4.3,Presence,2.4.3,
259,VRQ_2,I felt like I was visiting the museum,2.5,2.4.3,Presence,2.4.3,
259,VRQ_1,It felt like I was there touring the city.,2.5,2.4.3,Presence,2.4.3,
260,VRQ_1,it feels like I am there looking around,2.5,2.4.3,Presence,2.4.3,
280,VRQ_2,Feels like you’re really there,2.5,2.4.3,Presence,2.4.3,
282,VRQ_2,Slow to be immersed,2.5,2.4.2,Immersion,2.4.2,
290,VRQ_1,Immersive,2.5,2.4.2,Immersion,2.4.2,
312,VRQ_2,Felt like I was there,2.5,2.4.3,Presence,2.4.3,
325,VRQ_2,It’s immersive,2.5,2.4.2,Immersion,2.4.2,
330,VRQ_2,It feels like turning your head to look around because of the way the footage is shot,2.5,2.4.3,Presence,2.4.3,
330,VRQ_3,It helps you to feel like you're actually present at the location,2.5,2.4.3,Immersion,2.4.3,
333,VRQ_2,It gave me a feeling of being there.,2.5,2.4.3,Presence,2.4.3,
346,VRQ_2,Made it feel as it you was there,2.5,2.4.3,Presence,2.4.3,
387,VRQ_3,"is an immersive technology, you immerse yourself in a sea of visual sensations and new experiences",2.5,2.4.2,Immersion,2.4.2,
15,VRQ_3,It made me feel present,2.5,2.4.3,Presence,2.4.3,
31,VRQ_3,I felt as if I was really inside the shopping malls and hotel lobbies.,2.5,2.4.3,Presence,2.4.3,
67,VRQ_1,It felt like I was in Dubai,2.5,2.4.3,Presence,2.4.3,
103,VRQ_3,Excellent quality - sense of being there.,2.5,2.4.3,Presence,2.4.3,
123,VRQ_3,It feels like I am really there,2.5,2.4.3,Presence,2.4.3,
128,VRQ_1,It makes you feel like your actually there.,2.5,2.4.3,Presence,2.4.3,
348,VRQ_1,Immersive,2.5,2.4.3,Presence,2.4.3,
356,VRQ_1,It's really cool to feel like I'm actually there.,2.5,2.4.3,Presence,2.4.3,
367,VRQ_2,It feels like you are there.,2.5,2.4.3,Presence,2.4.3,
370,VRQ_1,it makes you feel like you are actually there,2.5,2.4.3,Presence,2.4.3,
372,VRQ_3,I can feel like your actually there,2.5,2.4.3,Presence,2.4.3,
4,VRQ_3,not crowded,Destination Quality,Destination Quality,,?,
8,VRQ_3,People enjoying themselves,Destination Quality,Destination Quality,,?,
91,VRQ_1,Beautiful place,Destination Quality,Destination Quality,,Beautiful place,
111,VRQ_1,The city looked beautiful.,Destination Quality,Destination Quality,,Beautiful place,
119,VRQ_1,I captured the beautiful waters and scenery.,Destination Quality,Destination Quality,,Beautiful place,
121,VRQ_1,Nice scenery,Destination Quality,Destination Quality,,Beautiful place,
143,VRQ_3,The place is beautiful.,Destination Quality,Destination Quality,,Beautiful place,
140,VRQ_2,So many majestic hotel options,Destination Quality,Destination Quality,,Hotel options,
152,VRQ_3,architecture is amazing.,Destination Quality,Destination Quality,,Impressive experience,
172,VRQ_2,The buildings were amazing,Destination Quality,Destination Quality,,Impressive experience,
207,VRQ_1,this is such an amazing beautiful place,Destination Quality,Destination Quality,,Impressive experience,
215,VRQ_3,That island design.  I can't believe this is all man made,Destination Quality,Destination Quality,,Impressive experience,
281,VRQ_2,the weather looks amazing,Destination Quality,Destination Quality,,Impressive experience,
139,VRQ_2,Seemingly no traffic,Destination Quality,Destination Quality,,Not crowed destination,
45,VRQ_3,There was barely any traffic,Destination Quality,Destination Quality,,,
59,VRQ_3,Perfect weather,Destination Quality,Destination Quality,,,
76,VRQ_3,There is a lot of water moving,Destination Quality,Destination Quality,,,
79,VRQ_1,I really like the beaches,Destination Quality,Destination Quality,,,
79,VRQ_3,the walkway around the beaches,Destination Quality,Destination Quality,,,
105,VRQ_1,Very beautiful scenery,Destination Quality,Destination Quality,,,
119,VRQ_2,It showed some of the cultural places that are available to visit.,Destination Quality,Destination Quality,,,
123,VRQ_2,the amount of attractions is large,Destination Quality,Destination Quality,,,
132,VRQ_2,Beautiful coast,Destination Quality,Destination Quality,,,
140,VRQ_4,Surrounded by vast waterways,Destination Quality,Destination Quality,,,
152,VRQ_2,Land layout is unique,Destination Quality,Destination Quality,,,
152,VRQ_1,Water looks nice,Destination Quality,Destination Quality,,,
166,VRQ_1,Beautiful architecture,Destination Quality,Destination Quality,,,
172,VRQ_1,The water was beautiful,Destination Quality,Destination Quality,,,
172,VRQ_3,The weather seemed perfect,Destination Quality,Destination Quality,,,
185,VRQ_4,How I would enjoy a boat ride around the islands.,Destination Quality,Destination Quality,,,
185,VRQ_2,How nice the air would smell,Destination Quality,Destination Quality,,,
186,VRQ_3,Love the scenery and locations,Destination Quality,Destination Quality,,,
190,VRQ_1,Beautiful scenery,Destination Quality,Destination Quality,,,
190,VRQ_2,Nice beach,Destination Quality,Destination Quality,,,
195,VRQ_3,I liked seeing the Chihuly glass exhibit,Destination Quality,Destination Quality,,,
196,VRQ_4,Exploring the interiors of certain buildings was appealing,Destination Quality,Destination Quality,,,
200,VRQ_3,"Despite the desert locale, the city felt cold/stark.",Destination Quality,Destination Quality,,,
200,VRQ_1,The city looks like a Marvel movie,Destination Quality,Destination Quality,,,
207,VRQ_2,it would be cool to visit here one day,Destination Quality,Destination Quality,,,
210,VRQ_3,Nice living pace,Destination Quality,Destination Quality,,,
211,VRQ_2,It looked so pretty at night time.,Destination Quality,Destination Quality,,Night view,
211,VRQ_1,The water was beautiful.,Destination Quality,Destination Quality,,,
215,VRQ_1,"That hotel, Atlantis, is amazing.",Destination Quality,Destination Quality,,,
215,VRQ_2,The skyline is wild.,Destination Quality,Destination Quality,,,
231,VRQ_2,Concrete jungle feel when outside,Destination Quality,Destination Quality,,,
231,VRQ_4,The buildings interiors are pretty,Destination Quality,Destination Quality,,,
231,VRQ_3,The culture looks nice when inside,Destination Quality,Destination Quality,,Inside-building view,
240,VRQ_3,It had some striking images of the architecture in a mall,Destination Quality,Destination Quality,,,
244,VRQ_4,That looks like an unusually clean city.,Destination Quality,Destination Quality,,,
244,VRQ_3,"What a beautiful, vibrant city.",Destination Quality,Destination Quality,,,
246,VRQ_2,"Dubai has a lot to do, based on this tour!",Destination Quality,Destination Quality,,,
252,VRQ_1,I like the scenery,Destination Quality,Destination Quality,,,
256,VRQ_2,The city looked modern,Destination Quality,Destination Quality,,,
256,VRQ_1,The city was beautiful at night,Destination Quality,Destination Quality,,Night view,
258,VRQ_2,"It contains many popular landmarks and hotels that would be of interest to tourists (e.g. beaches, hotels)",Destination Quality,Destination Quality,,,
266,VRQ_2,The landscapes on the virtual tour were beautiful.,Destination Quality,Destination Quality,,,
267,VRQ_2,beautiful weather,Destination Quality,Destination Quality,,,
267,VRQ_3,lovely buildings,Destination Quality,Destination Quality,,,
279,VRQ_1,Great views of the water,Destination Quality,Destination Quality,,,
281,VRQ_4,i can't believe there's an art gallery,Destination Quality,Destination Quality,,,
281,VRQ_5,look at those tall buildings!,Destination Quality,Destination Quality,,,
281,VRQ_1,the ocean is beautiful,Destination Quality,Destination Quality,,,
281,VRQ_3,the sun is out and looks warm,Destination Quality,Destination Quality,,,
281,VRQ_6,"whoa, the city looks so vast and large",Destination Quality,Destination Quality,,,
284,VRQ_3,The grandiose-ness of the city,Destination Quality,Destination Quality,,,
288,VRQ_3,The hotels were easily recognizable.,Destination Quality,Destination Quality,,,
289,VRQ_5,There were many historical and cultural places that I could visit.,Destination Quality,Destination Quality,,,
293,VRQ_1,Beautiful scenery,Destination Quality,Destination Quality,,,
293,VRQ_4,The weather looked nice,Destination Quality,Destination Quality,,,
294,VRQ_3,There are many places that look fun to visit,Destination Quality,Destination Quality,,,
304,VRQ_5,everything was large scale,Destination Quality,Destination Quality,,,
304,VRQ_1,the places were beautiful,Destination Quality,Destination Quality,,,
304,VRQ_2,the vistas were grand,Destination Quality,Destination Quality,,,
306,VRQ_10,I can't believe its mostly man made,Destination Quality,Destination Quality,,,
306,VRQ_9,it looks more westernized than I thought,Destination Quality,Destination Quality,,,
306,VRQ_7,the architecture is fantastic,Destination Quality,Destination Quality,,,
306,VRQ_3,the mall is huge,Destination Quality,Destination Quality,,,
307,VRQ_2,Awesome landscape,Destination Quality,Destination Quality,,,
307,VRQ_1,Beautiful sights,Destination Quality,Destination Quality,,,
307,VRQ_3,Interesting night life,Destination Quality,Destination Quality,,Night view,
309,VRQ_1,Beautiful tropical scenery,Destination Quality,Destination Quality,,,
309,VRQ_3,Different cultures are there that differ greatly from my own.,Destination Quality,Destination Quality,,,
309,VRQ_2,Tourist town with many things to see,Destination Quality,Destination Quality,,,
310,VRQ_1,Intigued by first scene,Destination Quality,Destination Quality,,,
310,VRQ_3,Wanting to visit the museum,Destination Quality,Destination Quality,,,
319,VRQ_1,Nice places to view,Destination Quality,Destination Quality,,,
324,VRQ_2,the museum looked interesting,Destination Quality,Destination Quality,,,
349,VRQ_2,Gorgeous scenery,Destination Quality,Destination Quality,,,
361,VRQ_3,a lot of art work and culture,Destination Quality,Destination Quality,,,
361,VRQ_2,doesn't look too crowded,Destination Quality,Destination Quality,,,
361,VRQ_1,Gorgeous architecture,Destination Quality,Destination Quality,,,
378,VRQ_2,Advanced city,Destination Quality,Destination Quality,,,
378,VRQ_1,Beautiful at night,Destination Quality,Destination Quality,,Night view,
378,VRQ_3,Upscale living,Destination Quality,Destination Quality,,,
379,VRQ_3,The views over water were stunning,Destination Quality,Destination Quality,,,
390,VRQ_3,Visit unique places and not just sceneries,Destination Quality,Destination Quality,,,
392,VRQ_1,The scenes were pretty,Destination Quality,Destination Quality,,,
361,VRQ_5,hotels looked like museums,Unclear,Destination quality,,,
34,DQ_3,It made me want to go to Dubai even more,Intention,Intention,,,
93,VRQ_3,none,N/A,N/A,,,
93,VRQ_1,none,Not Included,N/A,,,
93,VRQ_2,none,Not included,N/A,,,
203,VRQ_3,none,,N/A,,,
110,VRQ_4,"thats it I only had 1 positive thought, the first one it was clunk and poorly done worse than google maps",Negative,Negative,,?,
303,VRQ_2,it appears to be expensive,Negative,Negative,,?,
306,VRQ_6,looks very expensive,Negative,Negative,,?,
88,VRQ_5,"the aerial view is easier to see everything, but doesn’t make me feel like im actually there",1.6,Negative,Utilitarian-Others,?,
76,VRQ_7,looks expensive,Not Clear,Negative,,?,
6,VRQ_3,the video time lapse from the Burj Khalifa was low quality and had annoying audio,Negative,Negative,,,
19,VRQ_3,some of the videos were laggy,Negative,Negative,,,
34,VRQ_1,I wish I was able to view it full screen,Negative,Negative,,,
45,VRQ_5,It was a little stark,Negative,Negative,,,
54,VRQ_2,I think this technology could feel immersive under the right circumstances,Negative,Negative,,,
55,VRQ_4,boring,Negative,Negative,,,
55,VRQ_6,slow,Negative,Negative,,,
55,VRQ_5,uninteresting,Negative,Negative,,,
76,VRQ_5,Its empty where are the people,Negative,Negative,,,
76,VRQ_6,where are the markets,Negative,Negative,,,
85,VRQ_3,Expensive,Negative,Negative,,,
88,VRQ_1,the icons were sometimes crowded,Negative,Negative,,,
112,VRQ_9,I wish there was more attractions to look up.,Negative,Negative,,,
146,VRQ_1,Boring,Negative,Negative,,,
153,VRQ_2,I couldn't go full screen.,Negative,Negative,,,
153,VRQ_3,If there was sound I didn't hear any.,Negative,Negative,,,
160,VRQ_4,In at least one of the videos it gave sound of the person enjoying the experience.,Negative,Negative,,,
171,VRQ_1,"Control was counterintuitive to where I was trying to go, though once I figured it out it was consistent.",Negative,Negative,,,
196,VRQ_3,The aerial views could be stunning if aligned properly,Negative,Negative,,,
200,VRQ_2,Why was the video so tiny?,Negative,Negative,,,
209,VRQ_3,"I didn't get a real experience, viewing on my laptop as opposed to actually viewing in VR.",Negative,Negative,,,
217,VRQ_1,I imagine this was a lousy video and that there are many better ones so won't judge on this one.,Negative,Negative,,,
224,VRQ_2,can't use the pin point to see what's in it,Negative,Negative,,,
224,VRQ_1,its too far away,Negative,Negative,,,
231,VRQ_5,It seems it would be hot,Negative,Negative,,,
231,VRQ_1,The streets look very barren,Negative,Negative,,,
270,VRQ_2,I wish I had more ability to see different things,Negative,Negative,,,
270,VRQ_1,I wish I had more interaction,Negative,Negative,,,
272,VRQ_3,So long ago we couldn't do any of these things,Negative,Negative,,,
300,VRQ_4,Maybe if it were magnified it would be more impressive.,Negative,Negative,,,
300,VRQ_3,Not the same as being there.,Negative,Negative,,,
304,VRQ_7,everything looked almost empty,Negative,Negative,,,
306,VRQ_1,I clicked the bubbles of areas but nothing happened,Negative,Negative,,,
310,VRQ_2,Confused by second screen,Negative,Negative,,,
328,VRQ_1,"There weren't as many shop, restaurant locations as I was expecting",Negative,Negative,,,
339,VRQ_2,It does the opposite of what you tell it to,Negative,Negative,,,
339,VRQ_3,It doesn't show you how hot it is there,Negative,Negative,,,
339,VRQ_1,The controls are terrible,Negative,Negative,,,
354,VRQ_5,Controls are difficult,Negative,Negative,,,
363,VRQ_8,I think the images couldve been color graded more,Negative,Negative,,,
363,VRQ_6,I think the website could better display on the home page picture of cool places,Negative,Negative,,,
363,VRQ_5,I think there couldve been better images shown to show just how cool dubai is,Negative,Negative,,,
363,VRQ_2,i wish it was a bit more interactive like google maps,Negative,Negative,,,
363,VRQ_4,Not as interactive to use with trackpad,Negative,Negative,,,
363,VRQ_7,The thumbnail photos arent great,Negative,Negative,,,
152,VRQ_4,Looks great at night,,Night view,,?,
144,VRQ_2,The feeling of being there when not,Not a sentence,Not a sentence,,,
192,VRQ_1,engaging,Not clear,Not clear,,"? 2.2.7        Impressive experience or 2.2.8	Curiosity",
168,VRQ_2,showing hotels,Not Clear,Not Clear,,,
260,VRQ_3,I didn't know youtube had this,Not clear,Not clear,,,
112,VRQ_7,You can watch people jumping off buildings!,Not included,Not included,,"2.2.7	Impressive experience",
149,VRQ_2,I wish I could put myself in that location.,Not included,Not included,,visit intention,
37,VRQ_1,more water than I thought,Destination quality,Not included,,,
44,VRQ_4,loves seeing the burj khalifa,Destination Quality,Not included,,,
128,VRQ_2,It's clear that a lot of work was put in the tourism in Dubai.,Not Included,Not Included,,,
142,VRQ_2,have to be in well planed area,Not included,Not included,,,
146,VRQ_2,Lengthy,Not included,Not included,,,
151,VRQ_2,How much does all this cost?,Not included,Not included,,,
155,VRQ_1,it's like google maps,Not included,Not included,,,
163,VRQ_1,The tour reminded me of Google street view,Not Included,Not Included,,,
182,VRQ_8,"It can make education more accessible, as it can be used to deliver lectures and classes to remote areas.",Not Included,Not Included,,,
245,VRQ_3,The same amount of time was spent in each location,Not included,Not included,,,
88,VRQ_2,gave options that were easy to navigate,Overlap,Overlap,,,
143,VRQ_2,I could feel some kind of satisfaction.,Not Inckuded,satisfaction,,,
289,VRQ_3,It gave me a good idea of how congested things were.,Unclear,Unclear,To increase the destiantion knowledge,?,
91,VRQ_2,Expansive,Unclear,Unclear,,?,
124,VRQ_3,It highlighted the diversity,Unclear,Unclear,,?,
135,VRQ_4,Art lovers dream,Unclear,Unclear,,?,
137,VRQ_1,landscape view,Unclear,Unclear,,?,
214,VRQ_2,Nowadays this kind of technologies play a very important role for the society.,Unclear,Unclear,,?,
235,VRQ_1,Modern,Unclear,Unclear,,?,
325,VRQ_3,It’s accurate,Unclear,Unclear,,?,
332,VRQ_3,Accurate,Unclear,Unclear,,?,
349,VRQ_1,I wanted to be there,Unclear,Unclear,,?,
381,VRQ_3,It was intuitive,Unclear,Unclear,,?,
126,VRQ_4,engaging,Unclear,Unclear,,"? 2.2.7        Impressive experience or 2.2.8	Curiosity",
45,VRQ_6,It was like a doll house,Unclear,Unclear,,,
60,VRQ_2,Adequate,Unclear,Unclear,,,
60,VRQ_3,Current,Unclear,Unclear,,,
86,VRQ_1,Wasn't too long.,Unclear,Unclear,,,
98,VRQ_2,Scenery,Unclear,Unclear,,,
129,VRQ_2,I can see quite a bit.,Unclear,Unclear,,,
139,VRQ_3,Interesting arc6,Unclear,Unclear,,,
146,VRQ_3,Pedestrian,Unclear,Unclear,,,
162,VRQ_3,It mve,Unclear,Unclear,,,
171,VRQ_3,Where is everybody? Is this real or a virtual brochure?,Unclear,Unclear,,,
175,VRQ_5,functional,Unclear,Unclear,,,
182,VRQ_9,It can provide an effective way to conduct business meetings and conferences without having to travel.,Unclear,Unclear,,,
182,VRQ_2,"It is an excellent way to stay connected to family and friends, even if they are far away.",Unclear,Unclear,,,
203,VRQ_2,color,Unclear,Unclear,,,
206,VRQ_3,Vast,Unclear,Unclear,,,
216,VRQ_3,Technology,Unclear,Unclear,,,
220,VRQ_3,Making me want to cool,Unclear,Unclear,,,
236,VRQ_1,Possible,Unclear,Unclear,,,
238,VRQ_3,The future,Unclear,Unclear,,,
251,VRQ_1,smart,Unclear,Unclear,,,
251,VRQ_4,so much blue color,Unclear,Unclear,,,
260,VRQ_2,I like seeing foreign places,Unclear,Unclear,,,
263,VRQ_3,Free footage!,Unclear,Unclear,,,
285,VRQ_1,Descriptive,Unclear,Unclear,,,
302,VRQ_3,architecture,Unclear,Unclear,,,
316,VRQ_1,Interesting idea,Unclear,Unclear,,,
326,VRQ_2,Info,Unclear,Unclear,,,
326,VRQ_3,Views,Unclear,Unclear,,,
343,VRQ_2,Skyscrapers,Unclear,Unclear,,,
346,VRQ_1,3 D Effect,Unclear,Unclear,,,
348,VRQ_2,Abundant,Unclear,Unclear,,,
349,VRQ_3,Taking a vacation,Unclear,Unclear,,,
377,VRQ_3,Rich,Unclear,Unclear,,,
378,VRQ_4,Oasis,Unclear,Unclear,,,
382,VRQ_3,personal view,Unclear,Unclear,,,
386,VRQ_3,Point of view perspective,Unclear,Unclear,,,
76,VRQ_4,The decor looks nice,Unclear?,Unclear?,,,
303,VRQ_1,its new and updated,,Up to date technology,,?,
10,VRQ_4,I would love to visit,Not Included,visit intention,,visit intention,
38,VRQ_7,Maybe I could go here someday!,Not Included,visit intention,,visit intention,
62,VRQ_2,I'd like to explore this with my family.,Not included,visit intention,,visit intention,
147,VRQ_6,Overall it made me more inspired to visit Dubai,Not Included,visit intention,,visit intention,
215,VRQ_4,Definitely a place I have to visit,Not Included,visit intention,,visit intention,
227,VRQ_3,I would like to visit,Not included,visit intention,,visit intention,
270,VRQ_4,I really want to go and visit Dubai now,Not included,visit intention,,visit intention,
306,VRQ_8,I would love to go,Not Included,visit intention,,visit intention,
310,VRQ_4,Wanting to visit the beach,Not Included,visit intention,,visit intention,
327,VRQ_2,Might create desire to visit places,Not included,visit intention,,visit intention,
354,VRQ_4,I wish I had the money to go on a big vacation,Not included,visit intention,,visit intention,